image_id	width	height	aspect_ratio
146	256	256	1.000000
147	256	256	1.000000
148	256	256	1.000000
149	256	256	1.000000
150	256	256	1.000000
151	256	256	1.000000
152	256	256	1.000000
153	256	256	1.000000
154	256	256	1.000000
155	256	256	1.000000
156	256	256	1.000000
157	256	256	1.000000
158	256	256	1.000000
159	256	256	1.000000
160	256	256	1.000000
161	256	256	1.000000
162	256	256	1.000000
163	256	256	1.000000
164	256	256	1.000000
165	256	256	1.000000
166	256	256	1.000000
167	256	256	1.000000
168	256	256	1.000000
169	256	256	1.000000
170	256	256	1.000000
171	256	256	1.000000
172	256	256	1.000000
173	256	256	1.000000
174	256	256	1.000000
175	256	256	1.000000
176	256	256	1.000000
177	256	256	1.000000
178	256	256	1.000000
179	256	256	1.000000
180	256	256	1.000000
181	256	256	1.000000
182	256	256	1.000000
183	256	256	1.000000
184	256	256	1.000000
185	256	256	1.000000
186	256	256	1.000000
187	256	256	1.000000
188	256	256	1.000000
189	256	256	1.000000
190	256	256	1.000000
191	256	256	1.000000
192	256	256	1.000000
193	256	256	1.000000
194	256	256	1.000000
195	256	256	1.000000
196	256	256	1.000000
197	256	256	1.000000
198	256	256	1.000000
199	256	256	1.000000
200	256	256	1.000000
201	256	256	1.000000
202	256	256	1.000000
203	256	256	1.000000
204	256	256	1.000000
205	256	256	1.000000
206	256	256	1.000000
207	256	256	1.000000
208	256	256	1.000000
209	256	256	1.000000
210	256	256	1.000000
211	256	256	1.000000
212	256	256	1.000000
213	256	256	1.000000
214	256	256	1.000000
215	256	256	1.000000
216	256	256	1.000000
217	256	256	1.000000
218	256	256	1.000000
219	256	256	1.000000
220	256	256	1.000000
221	256	256	1.000000
222	256	256	1.000000
223	256	256	1.000000
224	256	256	1.000000
225	256	256	1.000000
226	256	256	1.000000
227	256	256	1.000000
228	256	256	1.000000
229	256	256	1.000000
230	256	256	1.000000
231	256	256	1.000000
232	256	256	1.000000
233	256	256	1.000000
234	256	256	1.000000
235	256	256	1.000000
236	256	256	1.000000
237	256	256	1.000000
238	256	256	1.000000
239	256	256	1.000000
240	256	256	1.000000
241	256	256	1.000000
242	256	256	1.000000
243	256	256	1.000000
244	256	256	1.000000
245	256	256	1.000000
246	256	256	1.000000
247	256	256	1.000000
248	256	256	1.000000
249	256	256	1.000000
250	256	256	1.000000
251	256	256	1.000000
252	256	256	1.000000
253	256	256	1.000000
254	256	256	1.000000
255	256	256	1.000000
256	256	256	1.000000
257	256	256	1.000000
258	256	256	1.000000
259	256	256	1.000000
260	256	256	1.000000
261	256	256	1.000000
262	256	256	1.000000
263	256	256	1.000000
264	256	256	1.000000
265	256	256	1.000000
266	256	256	1.000000
267	256	256	1.000000
268	256	256	1.000000
269	256	256	1.000000
270	256	256	1.000000
271	256	256	1.000000
272	256	256	1.000000
273	256	256	1.000000
274	256	256	1.000000
275	256	256	1.000000
276	256	256	1.000000
277	256	256	1.000000
278	256	256	1.000000
